Words,Pinyin,En.translation,Word_Length,CLDC_wfpm,CLDC_logfpm,CLDC_zipf,SUBTLEX_freq,AoA_in_years,PhonologicalN,C1_stroke,C2_stroke,C3_stroke,C1_pinyin,C2_pinyin,C3_pinyin,C1_PN,C2_PN,C3_PN,C1_characterfrequency,C2_characterfrequency,C3_characterfrequency,C1_syllablefrequency,C2_syllablefrequency,C3_syllablefrequency,C1_AoA,C2_AoA,C3_AoA
尺子,chi3zi5,ruler,2,0.547814299,0.189718854,2.739317494,1,NA,1,4,3,NA,chi3,zi,NA,11,6,NA,57.04388844,3310.14391,NA,17.86741918,825.9382697,NA,6.5,6.5,NA
房子,fang2zi5,house,2,37.34146139,1.583668662,4.572165203,3.4502,7.095238095,3,8,3,NA,fang2,zi,NA,18,6,NA,680.7883613,3310.14391,NA,1190.787471,825.9382697,NA,7,6.5,NA
奖杯,jiang3bei1,trophy,2,1.794501325,0.44630432,3.254127268,2.1523,9.333333333,0,9,8,NA,jiang3,bei1,NA,8,9,NA,257.942701,97.62701333,NA,618.5154273,273.1575888,NA,7.5,8,NA
漏斗,lou4dou3,funnel,2,1.122928314,0.326935329,3.05066714,1.2788,11.09090909,0,14,4,NA,lou4,dou4,NA,17,16,NA,40.99819257,436.5314575,NA,234.3141155,259.0129971,NA,8,7,NA
啤酒,pi2jiu3,beer,2,14.34236074,1.18589219,4.156611506,3.0741,10.21052632,0,11,10,NA,pi2,jiu3,NA,15,8,NA,11.93807307,251.1603471,NA,336.007043,883.4241345,NA,NA,9,NA
喷壶,pen1hu2,watering can,2,0.071,0.0298,1.856627274,0.301,NA,1,12,10,NA,pen1,hu2,NA,15,21,NA,47.58411252,16.48229056,NA,47.32377023,508.6388719,NA,8,7.5,NA
扑克,pu1ke4,poker,2,1.283086647,0.358522394,3.108527196,2.2455,8,2,5,7,NA,pu1,ke4,NA,20,17,NA,40.35574583,940.5568219,NA,45.62784539,1888.597644,NA,8,8,NA
秋千,qiu1qian1,swing,2,1.191177604,0.34067758,3.076271478,1.699,NA,1,9,3,NA,qiu1,qian1,NA,8,9,NA,140.9306142,316.182684,NA,181.3381594,643.2782172,NA,6.5,7,NA
杯子,bei1zi5,cup,2,3.043918322,0.606802375,3.483526119,2.5922,7.85,1,8,3,NA,bei1,zi,NA,9,6,NA,97.62701333,3310.14391,NA,273.1575888,825.9382697,NA,8,6.5,NA
窗帘,chuang1lian2,curtain,2,4.221446068,0.717790797,3.625518163,2.2648,8.238095238,0,12,8,NA,chuang1,lian2,NA,10,8,NA,123.0759767,20.59058608,NA,139.0732368,711.6284955,NA,7,8.5,NA
弹弓,dan4gong1,catapult,2,0.459545218,0.164217554,2.663150699,1.5315,7.608695652,7,11,3,NA,dan4,gong1,NA,23,15,NA,242.4587256,14.03762937,NA,1771.029891,7625.205023,NA,7.5,7,NA
钩子,gou1zi5,hook,2,0.592403835,0.202053215,2.773247778,1.8388,NA,2,9,3,NA,gou1,zi,NA,14,6,NA,30.42035751,3310.14391,NA,128.6070731,825.9382697,NA,8,6.5,NA
圣经,sheng4jing1,bibble,2,8.130765384,0.960507184,3.910143342,2.6767,13.88461538,1,5,8,NA,sheng4,jing1,NA,18,10,NA,67.45354373,3678.846447,NA,103.1009286,6299.095397,NA,10,7,NA
香烟,xiang1yan1,cigarette,2,5.971357857,0.843317377,3.776102587,2.4624,8,3,9,10,NA,xiang1,yan1,NA,8,23,NA,343.8644021,166.3755413,NA,2292.646187,196.0700349,NA,7,7.5,NA
颜色,yan2se4,color,2,31.02976708,1.50555378,4.491754561,3.0561,6.80952381,4,15,6,NA,yan2,se4,NA,18,15,NA,34.22391127,938.3166673,NA,2451.203387,966.0178942,NA,7,6.5,NA
屋檐,wu1yan2,eave,2,1.558813778,0.40803868,3.193011,1.9031,9.4375,1,9,17,NA,wu1,yan2,NA,9,18,NA,182.8773407,9.586919833,NA,393.0368044,989.7298969,NA,7.5,9.5,NA
狐狸,hu2li5,fox,2,3.575352792,0.660424587,3.553392733,2.0492,6.84210526,2,8,10,NA,hu2,li2,NA,21,12,NA,28.40960013,3.700627745,NA,508.6388719,694.8488631,NA,7.5,7.5,NA
帽子,mao4zi5,hat,2,14.56621841,1.19218312,4.163337258,2.917,6.411764706,8,12,3,NA,mao4,zi,NA,22,6,NA,50.16668112,3310.14391,NA,357.5562538,825.9382697,NA,7.5,6.5,NA
钥匙,yao4shi5,keyboard,2,9.220024049,1.009451918,3.964738225,3.192,5.5625,3,9,11,NA,yao4,shi,NA,22,9,NA,7.958939621,8.670003705,NA,4011.331132,569.3840609,NA,8.5,8.5,NA
熊猫,xiong2mao1,panda,2,5.677430916,0.824609404,3.754184772,1.7482,9.3,0,14,11,NA,xiong2,mao1,NA,4,22,NA,35.83103719,34.02882274,NA,196.0612896,34.02882274,NA,7,6.5,NA
长矛,chang2mao2,spear,2,1.685302461,0.42899321,3.226875602,1.5185,10.5,2,4,5,NA,zhang3,mao2,NA,21,21,NA,2093.408318,56.62747532,NA,2883.387734,453.401907,NA,6.5,10.5,NA
电视,dian4shi4,television,2,160.3894709,2.207875198,5.205141628,3.328,7.318181818,3,5,8,NA,dian4,shi4,NA,8,13,NA,2172.846352,832.6607516,NA,2533.81531,18835.466,NA,7,8,NA
毛巾,mao2jin1,towel,2,4.083127508,0.706131004,3.611053031,2.5051,6.52631579,1,4,3,NA,mao2,jin1,NA,21,9,NA,375.7210149,13.70934245,NA,453.401907,2422.279829,NA,7,7,NA
水井,shui3jing3,water well,2,1.795411315,0.446445719,3.254347331,1.0792,7.590909091,1,4,4,NA,shui3,jing3,NA,12,12,NA,1518.431943,79.95804628,NA,1514.35392,547.6067983,NA,6.5,7,NA
民警,min2jing3,policeman,2,13.47240979,1.160540851,4.129437927,0.4771,9.409090909,0,5,19,NA,min2,jing3,NA,9,12,NA,2114.085012,141.7809312,NA,2114.381008,547.6067983,NA,7.5,9,NA
钻石,zuan4shi2,diamond,2,6.403603359,0.869443144,3.806449445,2.5441,13.7619048,1,10,5,NA,zuan1,shi2,NA,11,10,NA,52.24740129,518.2170464,NA,6.471557701,1771.029891,NA,8,6.5,NA
花束,hua1shu4,bouquet,2,0.867220975,0.271195717,2.938548557,1.5315,NA,4,7,7,NA,hua1,shu4,NA,7,25,NA,618.8457324,196.836262,NA,617.5130758,2515.655258,NA,6.5,7.5,NA
别墅,bie2shu4,villa,2,9.473001416,1.020071162,3.976492629,2.3766,11.41666667,3,7,14,NA,bie2,shu4,NA,8,25,NA,1169.575293,7.36492866,NA,1169.11448,2515.655258,NA,7,14.5,NA
大树,da4shu4,tree,2,4.733770736,0.758440324,3.675254008,1.7404,4.947368421,12,3,9,NA,da4,shu4,NA,20,25,NA,6677.88132,256.7869696,NA,6649.994423,2515.655258,NA,6.5,6.5,NA
珊瑚,shan1hu2,coral,2,4.252385746,0.720356614,3.62868889,1.3802,10.6,3,9,13,NA,shan1,hu2,NA,24,21,NA,4.712397265,4.297329583,NA,1059.740446,508.6388719,NA,10.5,10.5,NA
老虎,lao3hu3,tiger,2,8.257254068,0.966482183,3.916846816,2.316,6.5,2,6,8,NA,lao3,hu3,NA,24,22,NA,1089.728245,75.88742303,NA,1094.493114,84.74780624,NA,6.5,7,NA
窗户,chuang1hu5,window,2,8.437432193,0.974853844,3.926220442,2.9499,5.909090909,0,12,4,NA,chuang1,hu4,NA,10,23,NA,123.0759767,376.7159664,NA,139.0732368,1258.857226,NA,7,8,NA
苹果,ping2guo3,apple,2,12.95917514,1.144859756,4.112571164,2.6493,6,0,8,8,NA,ping2,guo3,NA,11,13,NA,10.65856135,1221.238101,NA,22.62488863,280.2709205,NA,6.5,6.5,NA
吉它,ji2ta1,guitar,2,0.284827036,0.108844667,2.45592983,1.5798,NA,NA,6,5,NA,ji2,ta1,NA,NA,NA,NA,51.50068309,757.8160432,NA,4905.808714,5834.917876,NA,10,6.5,NA
蚊香,wen2xiang1,mosquito incense,2,0.342156439,0.127803139,2.535341533,NA,NA,NA,10,9,NA,wen2,xiang1,NA,NA,NA,NA,2.90883737,343.8644021,NA,2969.81532,2292.646187,NA,7,7,NA
插头,cha1tou2,plug,2,1.170247821,0.336509329,3.068578729,1.7993,NA,4,12,5,NA,cha1,tou2,NA,23,11,NA,64.17000182,1185.230139,NA,169.2769788,1183.902864,NA,8,6.5,NA
帆船,fan1chuan2,sailboat,2,2.671732196,0.564870998,3.426904129,1.8195,9,1,6,11,NA,fan1,chuan2,NA,23,9,NA,19.64474303,227.8950299,NA,241.372957,1065.040127,NA,7.5,6.5,NA
墨镜,mo4jing4,sunglasses,2,0.692502793,0.228529394,2.840955154,1.8633,9.761904762,1,15,16,NA,mo4,jing4,NA,18,11,NA,83.54700265,84.36704723,NA,115.2529264,1155.543045,NA,9,7,NA
纸箱,zhi3xiang1,box,2,1.04830909,0.311395492,3.02082949,1.2041,6.217391304,2,7,15,NA,zhi3,xiang1,NA,12,8,NA,194.8281955,123.1385396,NA,2948.051511,2292.646187,NA,6.5,9,NA
喷泉,pen1quan2,fountain,2,1.647082859,0.422767536,3.216918633,1.9542,7.857142857,1,12,9,NA,pen1,quan2,NA,15,5,NA,47.58411252,73.22614629,NA,47.32377023,3594.729651,NA,8,7,NA
雪人,xue3ren2,snaoman,2,0.496854829,0.175179683,2.696987509,1.5798,7.888888889,1,11,2,NA,xue3,ren2,NA,4,14,NA,140.2747131,10241.83273,NA,140.4758561,10150.23328,NA,6.5,6.5,NA
纽扣,niu3kou4,button,2,0.848111174,0.266728093,2.928881826,1.8921,8.636363636,0,7,6,NA,niu3,kou4,NA,9,18,NA,33.16168782,59.16429903,NA,75.39835625,68.63954749,NA,11,9,NA
音响,yin1xiang3,soundbox,2,8.874227647,0.994503136,3.948138407,2.0569,12.5,3,9,9,NA,yin1,xiang3,NA,7,7,NA,527.7642758,497.835676,NA,2432.754739,2021.167032,NA,6.5,7,NA
柳树,liu3shu4,willow,2,2.153947584,0.498854471,3.33338188,1.2041,9.157894737,0,9,9,NA,liu3,shu4,NA,9,25,NA,13.96093939,256.7869696,NA,15.08303484,2515.655258,NA,8,6.5,NA
围裙,wei2qun2,apron,2,1.156597963,0.333769191,3.063487294,1.8325,NA,0,7,12,NA,wei2,qun2,NA,9,2,NA,385.4996596,10.35785592,NA,2495.666756,487.0149893,NA,7.5,7,NA
斧头,fu3tou5,axe,2,1.237587121,0.349779954,3.092858308,1.9243,7.954545455,1,8,5,NA,fu3,tou2,NA,22,9,NA,9.643428237,1185.230139,NA,547.0928409,1183.902864,NA,8.5,6.5,NA
登山鞋,deng1shan1xie2,boots,3,0.0637,0.0268,1.810258531,0,14.23076923,0,12,3,15,deng1,shan1,xie2,20,24,9,222.8960543,1002.2048,56.17069905,1769.837833,1059.740446,58.66715962,7.5,6.5,7.5
厨师,chu2shi1,chef,2,3.91568925,0.691584421,3.592872445,2.4082,8.04761905,1,12,6,NA,chu2,shi1,NA,20,12,NA,19.14625818,655.6138673,NA,494.7734587,2154.6715,NA,8,6.5,NA
小鹿,xiao3lu4,deer,2,NA,NA,NA,1,NA,7,3,11,NA,xiao3,lu4,NA,14,26,NA,2111.863694,20.56704091,NA,2138.816184,1665.493047,NA,6.5,7,NA
农民,nong2min2,farmer,2,160.4449803,2.208024546,5.205291907,2.2148,8,0,6,5,NA,nong2,min2,NA,11,9,NA,523.8308873,2114.085012,NA,610.3250723,2114.381008,NA,7.5,7.5,NA
猎人,lie4ren2,hunter,2,3.062118133,0.608752549,3.486114294,2.2765,9,2,11,2,NA,lie4,ren2,NA,9,14,NA,19.09916785,10241.83273,NA,1001.117013,10150.23328,NA,8.5,6.5,NA
菜刀,cai4dao1,kitchen knife,2,1.122928314,0.326935329,3.05066714,1.2041,7.888888889,1,11,2,NA,cai4,dao1,NA,21,23,NA,186.7824751,98.29704155,NA,188.351256,102.0117964,NA,8,6.5,NA
龙虾,long2xia1,lobster,2,0.923640388,0.284123887,2.96589389,2.1903,9.318181818,0,5,9,NA,long2,xia1,NA,13,5,NA,251.9521375,14.62154955,NA,338.4321954,1.630671088,NA,7.5,8.5,NA
钉耙,ding1pa2,rake,2,0.051,0.0216,1.714875038,0.301,NA,0,7,10,NA,ding1,ba4,NA,12,18,1,18.67199122,2.327608071,NA,157.0092733,223.4221206,NA,7.5,NA,NA
老鼠,lao3shu3,mouse,2,8.838738017,0.992939396,3.946398281,2.7745,5.47826087,2,6,13,NA,lao3,shu3,NA,24,24,-1,1089.728245,18.16207015,NA,1094.493114,562.371637,NA,6.5,7.5,NA
公鸡,gong1ji1,rooster,2,1.836360889,0.452761488,3.264136501,1.7634,5.96,7,4,7,NA,gong1,ji1,NA,15,14,-1,2611.330713,84.17263141,NA,7625.205023,4380.783078,NA,6.5,6.5,NA
科学家,ke1xue2jia1,scientist,3,40.22704136,1.615182169,4.604491226,2.6435,9.826086957,0,9,8,10,ke1,xue2,jia1,13,6,0,1623.807335,3991.136105,3829.854393,1692.781897,4022.404089,279.7327453,7.5,6.5,6.5
草帽,cao3mao4,strawhat,2,1.423225189,0.384393775,3.153514524,0.9031,NA,1,9,12,NA,cao3,mao4,NA,22,22,NA,264.5562025,50.16668112,NA,264.5562025,357.5562538,NA,6.5,7.5,NA
白大褂,bai2da4gua4,white coat,3,0.333966524,0.125144931,2.524848001,1.3979,NA,0,5,3,13,bai2,da4,gua4,13,20,6,712.0005091,6677.88132,2.207864072,665.7396351,6649.994423,95.39560409,6.5,6.5,11
地毯,di4tan3,carpet,2,7.609340811,0.9349699,3.881362279,2.5855,7.909090909,3,6,12,NA,di4,tan3,NA,17,24,NA,4392.326938,8.468187977,NA,7236.13,78.10335973,NA,6.5,8,NA
蝎子,xie1zi5,scorpion,2,0.833551325,0.263293071,2.921369518,1.6021,10.69230769,4,15,3,NA,xie1,zi,NA,14,6,NA,1.060205295,3310.14391,NA,7828.007631,825.9382697,NA,NA,6.5,NA
绳子,sheng2zi5,rope,2,4.6027321,0.748399857,3.663064862,2.6096,5.210526316,2,11,3,NA,sheng2,zi,NA,16,6,NA,30.15530618,3310.14391,NA,30.15530618,825.9382697,NA,7,6.5,NA
火箭,huo3jian4,rocket,2,16.12776216,1.233700624,4.207561924,2.2923,9.652173913,1,4,15,NA,huo3,jian4,NA,12,5,NA,502.9416139,49.09369417,NA,6.445321656,4819.03266,NA,6.5,8,NA
屋顶,wu1ding3,roof,2,7.549281436,0.931929614,3.877921272,2.6721,9.590909091,0,9,8,NA,wu1,ding3,NA,9,13,NA,182.8773407,143.7607435,NA,393.0368044,171.9678552,NA,7.5,7.5,NA
地图,di4tu2,map,2,25.05567925,1.415902399,4.398885263,2.7604,8.380952381,1,6,8,NA,di4,tu2,NA,17,20,0,4392.326938,586.1986746,NA,7236.13,898.1445738,NA,6.5,7.5,NA
日历,ri4li4,calendar,2,1.363165814,0.373494195,3.134801815,2.0086,8.25,6,4,4,NA,ri4,li4,NA,8,18,-1,3215.388735,345.6645984,NA,3215.388735,6647.206002,NA,6.5,9,NA
女孩,nv3hai2,girl,2,32.19182498,1.521031132,4.507721184,3.557,5,1,3,9,NA,nv3,hai2,NA,7,14,-1,998.3191743,230.5959971,NA,996.9589363,1629.791844,NA,6.5,6.5,NA
铁轨,tie3gui3,rail,2,1.128388257,0.328050854,3.052771964,1.7853,9.684210526,0,10,6,NA,tie3,gui3,NA,7,11,0,323.4218142,33.77655308,NA,325.1453205,127.8220099,NA,7.5,NA,NA
锤子,chui2zi5,hammer,2,0.764392045,0.246595091,2.883796178,2.1903,9.444444444,0,13,3,NA,chui2,zi,NA,7,6,1,10.49509061,3310.14391,NA,78.72158858,825.9382697,NA,11,6.5,NA
月亮,yue4liang5,moon,2,8.6385401,0.984011259,3.93644941,2.3997,5.5,1,4,9,NA,yue4,liang4,NA,1,9,-1,1819.101052,179.0556235,NA,1393.875312,615.6435895,NA,6.5,6.5,NA
手枪,shou3qiang1,gun,2,7.010567042,0.903663259,3.845772825,2.5922,6.631578947,1,4,8,NA,shou3,qiang1,NA,15,7,-1,1398.091915,136.0513826,NA,2305.51194,193.4585394,NA,6.5,8,NA
大炮,da4pao4,cannon,2,6.632010982,0.882638987,3.821668133,1.9085,8.043478261,5,3,9,NA,da4,pao4,NA,20,22,-1,6677.88132,136.1354725,NA,6649.994423,706.3032511,NA,6.5,7,NA
牙刷,ya2shua1,toothbrush,2,1.103818513,0.323008272,3.043218869,2.1303,6.227272727,0,4,8,NA,ya2,shua1,NA,17,7,NA,156.1340658,58.90866577,NA,216.8052556,59.48451332,NA,6.5,7,NA
篮球,lan2qiu2,basketball,2,10.32839251,1.054168288,4.014034306,2.4639,9.5,1,16,11,NA,lan2,qiu2,NA,18,6,NA,56.79498237,600.3237575,NA,387.5043625,1531.866816,NA,7,7,NA
台阶,tai2jie1,staircase,2,13.08202386,1.148665076,4.116668455,2.2765,7.75,0,5,6,NA,tai2,jie1,NA,13,15,NA,754.7228808,422.9882767,NA,1147.010949,1862.525742,NA,6.5,10,NA
水桶,shui3tong3,bucket,2,1.359525852,0.37282474,3.133641375,1.4472,6.857142857,1,4,11,NA,shui3,tong3,NA,12,17,NA,1518.431943,18.28046871,NA,1514.35392,1221.666623,NA,6.5,8,NA
红旗,hong2qi2,reg flag,2,11.04546505,1.080823572,4.043183094,1.1139,7.904761905,0,6,14,NA,hong2,qi2,NA,11,15,NA,456.7480118,112.5459047,NA,7625.205023,2585.364429,NA,6.5,6.5,NA
豹子,bao4zi5,leopard,2,0.946390151,0.289229898,2.976450912,1.4624,8.181818182,10,10,3,NA,bao4,zi,NA,22,6,NA,9.285541678,3310.14391,NA,2661.149599,825.9382697,NA,9.5,6.5,NA
鱼网,yu2wang3,fishing net,2,0.441345407,0.158768069,2.645636452,1.301,10.15789474,2,8,6,NA,yu2,wang3,NA,8,20,NA,156.4488983,777.5031675,NA,4175.387138,1323.49544,NA,6.5,7,NA
礼物,li3wu4,gift,2,11.0309052,1.080298305,4.042610288,3.2639,9.761904762,3,5,8,NA,li3,wu4,NA,16,7,NA,215.9542659,1872.830454,NA,5131.188448,2900.490271,NA,8,7,NA
蚯蚓,qiu1yin3,earthworm,2,1.122928314,0.326935329,3.05066714,1.2553,8,0,11,10,NA,qiu1,yin3,NA,8,6,NA,0.830135364,0.830135364,NA,181.3381594,827.7653747,NA,7.5,7.5,NA
桌子,zhuo1zi5,table,2,13.4332802,1.159365043,4.128174802,3.0527,6.941176471,3,10,3,NA,zhuo1,zi,NA,15,6,NA,83.90758009,3310.14391,NA,120.9898748,825.9382697,NA,6.5,6.5,NA
图钉,tu2ding1,drawing pin,2,0.116478788,0.0479,2.069589893,1,NA,1,8,7,NA,tu2,ding1,NA,20,11,NA,586.1986746,18.67199122,NA,898.1445738,157.0092733,NA,7.5,7.5,NA
线轴,xian4zhou2,bobbin,2,0.109198864,0.045,2.041785553,0.8451,NA,1,8,9,NA,xian4,zhou2,NA,10,19,NA,748.8944425,32.48896873,NA,4648.766112,32.27975309,NA,7.5,11.5,NA
企鹅,qi3e2,penguin,2,1.053769034,0.312551601,3.023083618,1.8451,7.944444444,1,6,12,NA,qi3,e2,NA,15,9,NA,558.4981204,21.19065151,NA,2698.233239,583.1606752,NA,11,9.5,NA
树叶,shu4ye4,leaf,2,4.462593558,0.737398888,3.649639194,1.959,6.681818182,5,9,5,NA,shu4,ye4,NA,25,4,NA,256.7869696,199.4746663,NA,2515.655258,510.1410537,NA,6.5,6.5,NA
铁链,tie3lian4,iron chain,2,1.234857149,0.349249768,3.091899952,1.6721,NA,1,10,12,NA,tie3,lian4,NA,7,8,NA,323.4218142,64.44245305,NA,325.1453205,458.0530868,NA,7.5,9.5,NA
天线,tian1xian4,antenna,2,6.829478927,0.89373286,3.834408742,2.0128,9.947368421,3,4,8,NA,tian1,xian4,NA,7,10,NA,2222.340314,748.8944425,NA,2271.771713,4648.766112,NA,6.5,7.5,NA
钳子,qian2zi5,forceps,2,0.523244555,0.182769634,2.719422666,1.8388,NA,2,10,3,NA,qian2,zi,NA,10,6,NA,5.107283375,3310.14391,NA,2529.135876,825.9382697,NA,9,6.5,NA
皮箱,pi2xiang1,leather suitcase,2,1.310386363,0.363684612,3.117664163,1.415,NA,2,5,15,NA,pi2,xiang1,NA,15,8,NA,264.2756786,123.1385396,NA,336.007043,2292.646187,NA,6.5,9,NA
铃铛,ling2dang1,bell,2,0.644273295,0.215974003,2.809646418,1.7634,NA,1,10,11,NA,ling2,dang1,NA,13,26,NA,25.64405193,1.714760975,NA,456.9908634,297.4474572,NA,7,9.5,NA
行星,xing2xing1,planet,2,8.952486833,0.997931612,3.951951143,2.0899,11,6,6,9,NA,xing2,xing1,NA,10,10,NA,3796.253419,703.6635014,NA,2278.263453,1093.357565,NA,7,6.5,NA
杠铃,gang4ling2,barbell,2,0.332146543,0.124552002,2.522481268,0.9031,NA,0,7,10,NA,gang1,ling2,NA,23,13,NA,12.05647163,25.64405193,NA,491.6607874,456.9908634,NA,9.5,7,NA
叉子,cha1zi5,fork,2,0.408585748,0.14878329,2.612212696,2.0414,NA,5,3,3,NA,cha1,zi,NA,23,6,NA,26.1257188,3310.14391,NA,169.2769788,825.9382697,NA,10,6.5,NA
梅花,mei2hua1,plum blossom,2,5.297054874,0.799137478,3.724072383,1.1139,6.578947368,0,11,7,NA,mei2,hua1,NA,8,7,NA,15.70059097,618.8457324,NA,1770.88122,617.5130758,NA,8,6.5,NA
铲子,chan3zi5,shovel,2,0.351256345,0.130737746,2.546711147,2.0253,NA,5,11,3,NA,chan3,zi,NA,24,6,NA,7.76654196,3310.14391,NA,3205.057787,825.9382697,NA,8,6.5,NA
圆号,yuan2hao4,horn,2,0.24114749,0.0938,2.383881819,0.9542,NA,2,10,5,NA,yuan2,hao4,NA,4,23,NA,133.7069566,422.4628831,NA,4920.309847,237.2047895,NA,7,7.5,NA
花生,hua1sheng1,peanut,2,8.19264474,0.963440477,3.913435669,2.2695,7.105263158,1,7,5,NA,hua1,sheng1,NA,7,21,NA,618.8457324,4769.192248,NA,617.5130758,5486.274477,NA,6.5,6.5,NA
浴缸,yu4gang1,bathtub,2,0.839011269,0.26458439,2.924201883,2.4425,10.69565217,1,10,9,NA,yu4,gang1,NA,6,24,NA,29.38975185,12.26366911,NA,1980.039678,491.6607874,NA,8,9,NA
相扑,xiang1pu1,sumo,2,0.492304877,0.173857558,2.692999469,1.0792,13.76923077,2,9,5,NA,xiang1,pu1,NA,8,20,NA,1547.532426,40.35574583,NA,2292.646187,45.62784539,NA,7,8,NA
马甲,ma3jia3,weskit,2,0.484114962,0.171467543,2.685727391,1.4624,15.04761905,1,3,5,NA,ma3,jia3,NA,21,8,NA,1015.390094,129.6612239,NA,1130.365187,386.2874137,NA,6.5,8,NA
斑马,ban1ma3,zebra,2,0.516874621,0.180949685,2.714112449,1.6335,8.15,0,12,3,NA,ban1,ma3,NA,24,21,NA,36.28310443,1015.390094,NA,790.6561712,1130.365187,NA,9,6.5,NA
玫瑰,mei2gui1,rose,2,12.42046074,1.127767426,4.094132834,2.5211,7.318181818,2,8,13,NA,mei2,gui1,NA,8,11,NA,12.76282668,14.62625858,NA,1770.88122,818.8619375,NA,9.5,8.5,NA
厨房,chu2fang2,kitchen,2,16.72107599,1.248490088,4.223251165,3.0228,7.045454545,1,12,8,NA,chu2,fang2,NA,20,18,NA,19.14625818,680.7883613,NA,494.7734587,1190.787471,NA,8,7,NA
乐谱,yue4pu3,mucis score,2,0.99552964,0.300058183,2.998414302,1.5051,NA,1,5,14,NA,le4,pu3,NA,1,21,NA,668.4695292,55.464344,NA,548.608477,282.1753883,NA,6.5,9.5,NA
凉鞋,liang2xie2,foothold,2,0.752562168,0.243673433,2.877030519,1.6532,7.346153846,0,10,15,NA,liang2,xie2,NA,8,9,NA,59.36006029,56.17069905,NA,615.6435895,58.66715962,NA,7,7.5,NA
鸵鸟,tuo2niao3,ostrich,2,1.233947158,0.349072896,3.09158003,1.3222,9.263157895,1,10,5,NA,tuo2,niao3,NA,16,11,NA,0.912207094,65.04588208,NA,27.42944841,67.09,NA,10.5,6.5,NA
衬衫,chen4shan1,shirt,2,6.799449239,0.892063936,3.832495165,2.7474,8.782608696,0,8,8,NA,chen4,shan1,NA,16,24,NA,27.32315879,14.905437,NA,400.8147826,1059.740446,NA,9,9,NA
衣架,yi1jia4,hanger,2,0.77349195,0.248829222,2.888929742,1.6902,7.807692308,3,6,9,NA,yi1,jia4,NA,9,7,NA,135.6450603,147.6470417,NA,13760.09507,1221.117684,NA,6.5,7,NA
勺子,shao2zi5,scoop,2,0.520514583,0.18199059,2.717154804,2.0374,NA,6,3,3,NA,shao2,zi,NA,16,6,NA,6.006036086,3310.14391,NA,7236.127844,825.9382697,NA,10.5,6.5,NA
仙鹤,xian1he4,crane,2,0.700692708,0.23062585,2.84605456,0.6021,11,4,5,15,NA,xian1,he4,NA,9,16,NA,21.02381718,15.31512293,NA,1390.62406,108.67037,NA,7.5,7.5,NA
靶子,ba3zi5,target,2,0.624253503,0.210653812,2.795956919,1.9685,NA,5,13,3,NA,ba3,zi,NA,21,6,NA,6.233415141,3310.14391,NA,863.1443447,825.9382697,NA,NA,6.5,NA
大脑,da4o3,brain,2,9.980776132,1.040633038,3.999167219,2.9274,9.291666667,5,3,10,NA,da4,o3,NA,20,22,NA,6677.88132,311.4359781,NA,6649.994423,357.0422964,NA,6.5,7.5,NA
刷子,shua1zi5,brush,2,0.87541089,0.273096433,2.942626469,1.7634,NA,1,8,3,NA,shua1,zi,NA,7,6,NA,58.90866577,3310.14391,NA,59.48451332,825.9382697,NA,7,6.5,NA
骰子,tou2zi5,dice,2,1.041029166,0.309849211,3.017805669,1.8513,10.56,6,13,3,NA,tou2,zi,NA,11,6,NA,0.769590645,3310.14391,NA,1277.293765,825.9382697,NA,NA,6.5,NA
瀑布,pu4bu4,waterfall,2,4.765620405,0.760846046,3.678165676,2.0043,8.476190476,2,18,5,NA,pu4,bu4,NA,23,22,NA,3.956261002,700.0624361,NA,2661.149599,14056.20785,NA,7.5,7.5,NA
拳头,quan2tou5,fist,2,6.1306062,0.853126452,3.787531189,2.4133,5.95,1,10,5,NA,quan2,tou2,NA,5,9,NA,47.13742704,1185.230139,NA,3594.729651,1183.902864,NA,9.5,6.5,NA
电话,dian4hua4,telephone,2,183.2011135,2.265292251,5.262893576,3.6478,8.10526316,1,5,8,NA,dian4,hua4,NA,8,6,NA,2172.846352,1172.237915,NA,2533.81531,3774.217833,NA,7,7.5,NA
海军,hai3jun1,navy,2,43.88338331,1.652085587,4.642272419,2.6201,9.176470588,1,10,6,NA,hai3,44713,NA,17,3,NA,1301.035367,1887.752709,NA,1301.035367,2405.403998,NA,6.5,7.5,NA
鸟巢,niao3chao2,nest,2,0.347616382,0.129566282,2.542198956,1.301,9.842105263,0,5,11,NA,niao3,chao2,NA,11,19,NA,65.04588208,6.343741072,NA,67.09,475.9043608,NA,6.5,9.5,NA
钞票,chao1piao4,money,2,4.703741049,0.7561598,3.672490725,2.3118,8.25,1,9,11,NA,chao1,piao4,NA,22,12,NA,5.099210745,274.2433574,NA,357.105532,81.82282361,NA,9.5,7,NA
蝗虫,huang2chong2,locust,2,1.170247821,0.336509329,3.068578729,1.3802,9.964285714,3,15,6,NA,huang2,chong2,NA,7,11,NA,6.014781435,95.41847653,NA,535.1924401,320.0925274,NA,NA,6.5,NA
篮子,lan2zi5,basket,2,5.208785793,0.793006677,3.716775673,2.0531,7.894736842,4,16,3,NA,lan2,zi,NA,18,6,NA,56.79498237,3310.14391,NA,387.5043625,825.9382697,NA,7,6.5,NA
树桩,shu4zhuang1,stump,2,0.545994318,0.189207893,2.737874654,1.3802,NA,4,9,10,NA,shu4,zhuang1,NA,25,7,NA,256.7869696,12.93773365,NA,2515.655258,859.0865031,NA,6.5,10.5,NA
